propertyCode,pullDateId,IDS_DATE_DAY,RateCode,RoomNights,RoomNightsPer,RoomRevenue,RoomRevenuePer,DailyAVG
USTX230301,920,2023-09-22,NXVU,1,1,71.00,0.80,71.00
USTX230301,920,2023-09-22,NO SHOW,0,0,85.50,0.97,0.00
USTX230301,920,2023-09-22,LWTO,3,3,252.75,2.86,84.25
USTX230301,920,2023-09-22,LWI2,2,2,214.20,2.43,107.10
USTX230301,920,2023-09-22,LFF,1,1,54.00,0.61,54.00
USTX230301,920,2023-09-22,LEXP,10,11,"1,029.37",11.66,102.94
USTX230301,920,2023-09-22,LATP,1,1,74.00,0.84,74.00
USTX230301,920,2023-09-23,SRTL,12,13,"1,533.70",15.86,127.81
USTX230301,920,2023-09-23,SRD Rate,7,7,684.88,7.08,97.84
USTX230301,920,2023-09-23,SGML,1,1,107.10,1.11,107.10
USTX230301,920,2023-09-23,SGM,1,1,107.10,1.11,107.10
USTX230301,920,2023-09-23,SCPM,15,16,"1,731.25",17.90,115.42
USTX230301,920,2023-09-23,SBOOK,7,7,828.00,8.56,118.29
USTX230301,920,2023-09-23,SAARP,1,1,102.60,1.06,102.60
USTX230301,920,2023-09-23,S3A,2,2,196.20,2.03,98.10
USTX230301,920,2023-09-23,BAR,17,19,"1,842.00",19.05,108.35
USTX230301,920,2023-09-23,PKPR1,1,1,120.50,1.25,120.50
USTX230301,920,2023-09-23,NXVU,1,1,71.00,0.73,71.00
USTX230301,920,2023-09-23,LWTO,3,3,252.75,2.61,84.25
USTX230301,920,2023-09-23,LWI2,2,2,200.60,2.07,100.30
USTX230301,920,2023-09-23,LNET2,1,1,81.75,0.85,81.75
USTX230301,920,2023-09-23,LFF,1,1,54.00,0.56,54.00
USTX230301,920,2023-09-23,LEXP,16,17,"1,682.21",17.40,105.14
USTX230301,920,2023-09-23,LATP,1,1,74.00,0.77,74.00
USTX230301,920,2023-09-24,SRTL,2,2,183.00,3.08,91.50
USTX230301,920,2023-09-24,SRD Rate,3,3,106.74,1.80,35.58
